类别总数: 23
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-57.76405315 -19.58813144]
[-57.76405315 -19.58813144]
[-57.76405315 -19.58813144]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-57.76405315 -19.58813144]
[-57.76405315 -19.58813144]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-58.66206228 -19.55133472]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-56.52140624 -19.57397822]
[-57.76405315 -19.58813144]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-57.76405315 -19.58813144]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-57.76405315 -19.58813144]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-57.76405315 -19.58813144]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-56.52140624 -19.57397822]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-56.52140624 -19.57397822]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-56.52140624 -19.57397822]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-57.41941537 -19.5371815 ]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-57.76405315 -19.58813144]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-57.76405315 -19.58813144]
[-59.00670006 -19.60228466]
[-57.76405315 -19.58813144]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-56.52140624 -19.57397822]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-57.76405315 -19.58813144]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-57.76405315 -19.58813144]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-57.76405315 -19.58813144]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-56.52140624 -19.57397822]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-57.76405315 -19.58813144]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-57.76405315 -19.58813144]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-57.76405315 -19.58813144]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-57.76405315 -19.58813144]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-56.52140624 -19.57397822]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-57.76405315 -19.58813144]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-57.76405315 -19.58813144]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-37.3855009 -24.610153 ]
[-19.34662251 -27.81593821]
[-18.73792399 -28.61580479]
[  7.00279733 -27.75192996]
[ 18.72106169 -29.33864117]
[ 13.25393549 -28.81137551]
[-30.85008608 -26.18688608]
[-32.47873617 -21.46938338]
[ 10.47194832 -28.99899622]
[ 17.5845823  -29.56462808]
[ 13.91087753 -29.37626484]
[-54.47746404 -25.12591465]
[-54.08460017 -26.49288171]
[ 13.476397   -34.91362714]
[ 19.05370421 -25.48782474]
[ 19.54469422 -28.26421363]
[ 13.17580879 -28.73850892]
[-11.27817576 -27.93657188]
[-29.60389518  -3.89447651]
[ 12.06431195 -16.25092284]
[13.40725983 -9.59595316]
[-43.9279177   17.87150593]
[ 11.74498845 -17.31427761]
[-60.74123712   7.88165917]
[-48.03654206  19.55238829]
第 1 类:
[-58.98782061  75.05078361]
[-15.15054103  75.5970964 ]
[-41.93540167  75.19797881]
[-58.98782061  75.05078361]
[-58.98782061  75.05078361]
[-58.98782061  75.05078361]
[-30.75157949  75.32535783]
[-58.98782061  75.05078361]
[-16.73782572  75.53199323]
[-58.98782061  75.05078361]
[-58.98782061  75.05078361]
[-39.45010785  75.22628525]
[-16.73782572  75.53199323]
[-58.98782061  75.05078361]
[-58.98782061  75.05078361]
[-58.98782061  75.05078361]
[-45.66334239  75.15551913]
[-58.98782061  75.05078361]
[-58.98782061  75.05078361]
[-58.98782061  75.05078361]
[-38.20746094  75.24043848]
[-45.66334239  75.15551913]
[-13.90789412  75.61124962]
[-58.98782061  75.05078361]
[-12.66524722  75.62540285]
[-24.19370717  75.44707389]
[-58.98782061  75.05078361]
[-6.45201267 75.69616897]
[-10.1799534  75.6537093]
[-20.46576644  75.48953356]
[-40.69275476  75.21213203]
[-50.63393003  75.09890624]
[-58.98782061  75.05078361]
[-58.98782061  75.05078361]
[-58.98782061  75.05078361]
[-46.9059893   75.14136591]
[-58.98782061  75.05078361]
[-58.98782061  75.05078361]
[-58.98782061  75.05078361]
[-58.98782061  75.05078361]
[-58.98782061  75.05078361]
[-25.43635408  75.43292066]
[-33.23687331  75.29705138]
[-19.22311954  75.50368679]
[-36.96481403  75.2545917 ]
[-35.72216712  75.26874493]
[-39.45010785  75.22628525]
[-29.50893258  75.33951105]
[-16.73782572  75.53199323]
[-58.98782061  75.05078361]
[-51.87657693  75.08475301]
[-58.98782061  75.05078361]
[-58.98782061  75.05078361]
[-58.98782061  75.05078361]
[-58.98782061  75.05078361]
[-58.98782061  75.05078361]
[-26.67900099  75.41876744]
[-49.39128312  75.11305946]
[-20.46576644  75.48953356]
[-58.98782061  75.05078361]
[-58.98782061  75.05078361]
[-58.98782061  75.05078361]
[-58.98782061  75.05078361]
[-58.98782061  75.05078361]
[-21.70841335  75.47538034]
[-58.98782061  75.05078361]
[-58.98782061  75.05078361]
[-58.98782061  75.05078361]
[-58.98782061  75.05078361]
[-58.98782061  75.05078361]
[-7.69465958 75.68201575]
[-51.87657693  75.08475301]
[-20.46576644  75.48953356]
[-11.42260031  75.63955607]
[-58.98782061  75.05078361]
[-34.47952022  75.28289815]
[-44.42069548  75.16967236]
[-58.98782061  75.05078361]
[-58.98782061  75.05078361]
[-17.98047263  75.51784001]
[-58.98782061  75.05078361]
[-58.98782061  75.05078361]
[-20.46576644  75.48953356]
[-58.98782061  75.05078361]
[-58.98782061  75.05078361]
[-45.66334239  75.15551913]
[-58.98782061  75.05078361]
[-58.98782061  75.05078361]
[-22.95106026  75.46122711]
[-8.93730649 75.66786252]
[-58.98782061  75.05078361]
[-58.98782061  75.05078361]
[-24.19370717  75.44707389]
[-58.98782061  75.05078361]
[-28.26628567  75.35366427]
[-58.98782061  75.05078361]
[-12.66524722  75.62540285]
[-58.98782061  75.05078361]
[-58.98782061  75.05078361]
[-31.9942264  75.3112046]
[-58.98782061  75.05078361]
[-43.17804857  75.18382558]
[-12.66524722  75.62540285]
[-28.26628567  75.35366427]
[-58.98782061  75.05078361]
[-15.15054103  75.5970964 ]
[-19.22311954  75.50368679]
[-58.98782061  75.05078361]
[-25.29948019  76.89249875]
[ 9.20108285 55.13467407]
[-36.07742683  52.70781003]
[-44.05998804 115.40893124]
[-39.84553479 114.66597822]
[-35.05173292  50.67192082]
[ 6.89849197 95.36849333]
[47.91724017 97.09262735]
[14.25543234 83.21295985]
[  3.71317775 111.64024575]
[32.92180221 53.67948541]
[ 6.08582903 81.32953593]
[18.42998409 44.37113835]
[-29.41912664  86.70948668]
[25.58394905 92.8188786 ]
[-44.87525296  33.79363099]
[-45.27142514  65.90180433]
[-50.53095208 100.2388598 ]
[-22.96151548  52.31651909]
[22.32384825 44.32459952]
[  6.81581021 105.2312393 ]
[ 8.52366005 39.28982986]
[ 6.97890826 80.43147424]
[-41.61765746  76.34698172]
[ 6.8588252  73.77550682]
[-52.8407977   64.00117056]
[-26.97823886  81.09666869]
[ 4.75023303 63.46017191]
[-40.89756307  91.8077465 ]
[16.73184366 92.07693165]
[-34.4530712  109.51650306]
[-34.45172891  88.1178717 ]
[-32.63712434  64.82778472]
[ 9.63291872 55.98514056]
[-56.45540125  76.79721945]
[22.81411529 73.65145938]
[10.11001222 79.2682294 ]
[10.82946078 49.30226603]
[-46.68012714  63.33754633]
[17.54055751 34.47680333]
[-57.69201065  48.43812316]
[44.50647851 54.05699041]
[-59.58780713  82.38307446]
[52.18666407 67.92999872]
[ 4.23456179 72.3573687 ]
[-54.45199632  65.15805772]
[-35.59155028  52.45576009]
[15.12147836 98.34664061]
[-52.09417178  30.9475695 ]
[-46.97358396  84.56658883]
[-45.5084595   64.57852627]
[ 5.96515682 64.84916466]
[-3.89683594 95.07287478]
[20.51062783 55.50070347]
[-23.11347351 114.09759721]
[70.9234863  94.66293123]
[20.01812648 53.46578225]
[-57.42475776  67.79015638]
[17.88234239 74.54545358]
[ 18.02817376 128.4516118 ]
第 2 类:
[ 82.10001547 -32.46182739]
[ 31.25990302 -29.4095532 ]
[109.68154424 -33.29234036]
[132.4227279  -35.22165414]
[ 52.56399987 -31.39953576]
[ 58.98993722 -31.72908853]
[ 66.09116787 -31.9864781 ]
[ 46.02611554 -30.97061734]
[ 97.50176509 -38.89328432]
[108.11932826 -32.6143079 ]
[ 25.68110365 -29.16137867]
[ 81.13590237 -30.43554572]
[108.41072121 -32.84593948]
[ 80.39256598 -32.46015142]
[100.9021876  -32.70360889]
[117.52710696 -32.91913372]
[ 49.92700351 -31.32413721]
[138.16133461 -32.06627358]
[ 40.86533514 -29.68861326]
[ 71.71537958 -31.96498524]
[144.3055938  -36.58617965]
[ 94.62319449 -30.88464183]
[ 48.25235932 -29.39961099]
[ 22.14829864 -27.21131236]
[133.54700906 -35.04826161]
[127.16343642 -31.50271706]
[ 94.66943152 -30.45430478]
[ 60.64787705 -31.29179308]
[ 37.66463457 -30.46474019]
[ 45.86007081 -31.12635276]
[104.32930259 -33.10347111]
[121.78678395 -34.1273197 ]
[ 49.31076491 -30.35705029]
[ 43.16803463 -31.77244885]
[103.64964864 -32.53532335]
[114.59505741 -32.2498801 ]
[126.03015153 -34.92027627]
[123.34864478 -31.18357938]
[ 85.08578219 -32.20516116]
[ 96.38291776 -31.85952554]
[104.29498367 -33.07363073]
[ 70.89350594 -31.24456886]
[ 24.08035349 -27.76018017]
[129.766003   -32.73848587]
[ 36.61040999 -26.10800498]
[ 27.46914401 -29.99878378]
[ 49.78876968 -31.20121742]
[ 84.5498156 -32.7073622]
[ 79.37033449 -31.92548673]
[ 64.9742738  -30.19672649]
[ 94.62175493 -31.64867523]
[ 92.00984885 -32.08680642]
[ 52.28036585 -31.24209302]
[ 45.50046733 -32.66934253]
[ 82.96237101 -32.07267359]
[ 38.28879874 -28.30737209]
[ 79.30114468 -31.84082176]
[ 29.26276167 -32.92887141]
[ 96.88098422 -31.46131052]
[ 99.9760717  -31.69474723]
[ 58.51032535 -31.71437337]
[ 23.94431691 -27.2849058 ]
[ 90.13066626 -33.53792244]
[102.53118822 -29.8936082 ]
[ 79.11892177 -33.24871488]
[ 78.80503418 -33.37285172]
[ 80.50312176 -32.61825176]
[ 43.88454481 -28.95700914]
[ 98.55591917 -32.75711191]
[133.07441597 -33.78425425]
[123.3313093  -31.54722489]
[ 54.11308122 -30.7674875 ]
[107.13375538 -32.83025232]
[ 33.08463577 -30.0369059 ]
[ 35.62935289 -30.4028208 ]
[101.78589963 -33.19962752]
[ 93.65655685 -32.4159246 ]
[ 77.57944794 -32.27344642]
[ 73.43947402 -32.79630301]
[ 40.95888558 -27.91557421]
[102.25239898 -30.52800839]
[ 84.67464226 -30.52652056]
[136.02067857 -32.04363009]
[105.53410873 -33.42392436]
[131.87321069 -35.55596519]
[ 64.97680636 -31.2951005 ]
[ 32.18582608 -30.09941574]
[ 69.17218348 -32.78427024]
[ 87.2080647  -31.61029289]
[100.1167611  -32.43463143]
[106.23050482 -27.69412092]
[144.04924178 -35.63154225]
[ 48.94341543 -28.29623072]
[ 65.66007948 -31.97890672]
[112.66845881 -33.63643275]
[ 79.48532584 -31.64012159]
[ 88.04808664 -32.74396223]
[ 74.99516911 -29.37652131]
[ 40.37448137 -30.03210933]
[ 66.01964008 -32.69893271]
[ 63.29575945 -29.85320435]
[ 33.42418806 -29.19244834]
[ 93.87931196 -32.58787542]
[ 62.93574891 -35.94814312]
[ 52.9307898  -31.09028436]
[ 66.19427771 -26.24810136]
[ 85.1549724  -31.33490826]
[102.73869783 -32.07583455]
[126.09342021 -33.64655104]
[ 47.05103333 -30.70930309]
[ 92.32575955 -31.59065317]
[ 80.5622823  -31.80584292]
[ 45.78224458 -30.25619346]
[ 91.28722025 -26.74330074]
[ 50.80043549 -30.55653887]
[ 88.6314228  -31.71432128]
[127.78543921 -29.20864046]
[ 92.33730684 -34.58012008]
[120.40565007 -30.50578995]
[128.93540267 -33.52548517]
[118.77664944 -33.31579063]
[ 40.04127185 -30.5139378 ]
[ 86.66939889 -31.93449532]
[ 41.94973573 -30.6902382 ]
[106.4886785  -33.92253353]
[ 76.17314247 -33.91777918]
[ 46.94244939 -30.5081321 ]
[ 53.51285165 -26.85768171]
[125.50775806 -33.50129017]
[ 37.03003002 -30.07352784]
[ 65.51887062 -32.21115334]
[103.64002278 -32.85702524]
[ 49.88030578 -32.05324637]
[127.71060335 -33.32816526]
[105.57826073 -33.08288729]
[ 65.54430701 -31.4220431 ]
[ 69.33073997 -29.43679028]
[110.29398128 -34.22848539]
[114.59130858 -30.98756303]
[ 40.06087645 -27.87877749]
[ 96.07732503 -31.43026985]
[ 69.63194438 -29.17239557]
[ 60.159223   -30.49775063]
[ 69.71752332 -32.16350535]
[118.5014253  -35.69449444]
[142.55338331 -36.55561242]
[ 65.57598022 -33.6051432 ]
[ 64.50698753 -32.49680505]
[ 53.52912603 -30.31270613]
[ 76.44524102 -31.20736111]
[127.07077894 -33.89452933]
[ 46.06890292 -35.45358032]
[109.05019316 -33.31641409]
[ 84.87128129 -32.22935874]
[ 61.02590267 -28.93366902]
[ 62.39353755 -31.73416497]
[116.96992338 -33.31781464]
[ 89.05026703 -33.37089725]
[100.24597539 -32.0734883 ]
[ 34.25865603 -30.54358229]
[ 36.30780918 -30.23997073]
[ 43.53179444 -26.36339669]
[ 36.85108269 -29.94460323]
[ 71.25211011 -30.04303902]
[ 87.49778667 -31.91123068]
[ 83.00055848 -30.56881991]
[105.35411729 -32.83230909]
[ 80.66318813 -34.10176277]
[ 23.7161379  -26.76336728]
[ 28.67505439 -30.0835872 ]
[ 48.80278892 -29.92069948]
[ 98.5962915  -27.74924808]
[ 61.66286874 -31.7997109 ]
[ 69.78676749 -31.41742131]
[ 43.75029094 -31.13224578]
[129.72232426 -31.5272088 ]
[ 39.65213359 -30.94164233]
[110.10828329 -30.68592415]
[123.72002162 -35.79953594]
[ 97.39790364 -32.30758672]
[115.17260957 -30.78665566]
[ 27.76798527 -28.36313745]
[131.59481822 -34.89755821]
[ 95.26679288 -37.90422325]
[ 26.40601498 -24.92576272]
[ 89.06629372 -31.49958431]
[ 25.73465073 -29.21503413]
[ 82.35484774 -31.46993008]
[ 44.00753695 -28.27755761]
[ 62.34627695 -31.2816325 ]
[ 50.7697766 -30.8870292]
[ 90.45783974 -33.45241442]
[101.92467694 -32.46822629]
[138.27684395 -32.76466138]
[ 43.89509133 -28.17485065]
[ 94.57848895 -31.67179752]
[ 65.16701617 -28.85380216]
[135.813599   -36.13670168]
[ 41.01374765 -30.2632704 ]
[101.01717895 -32.41824375]
[149.6633058  13.2644481]
[123.88141164  10.98270685]
[137.58164713 -29.42146377]
[85.1835975 61.7309154]
[120.29018346  32.96031935]
[78.37916476 39.30132571]
[85.13480985 25.27859055]
[137.86307455 -17.0924926 ]
[132.61666285  32.12391041]
